id,syllable,words,complexword,nounPhraseCount,JJ,RB,VB,NN,complexity,Class_Label
4279,57,38,3,6,4,4,4,18,60.65,Plain_English
4280,49,29,2,6,4,0,3,13,49.173,Very_Easy
4281,55,33,5,4,2,0,5,14,49.088,Very_Easy
4282,58,38,5,7,4,0,5,16,58.424,Fairly_difficult
4283,25,16,2,2,2,0,1,7,66.528,Plain_English
4284,15,9,1,1,0,0,2,4,61.268,Plain_English
4285,14,8,2,1,2,1,1,2,54.725,Fairly_difficult
4286,46,29,5,4,5,0,2,13,57.924,Fairly_difficult
4287,43,31,2,4,5,2,6,10,73.754,Fairly_Easy
4288,31,22,1,2,1,0,3,9,76.461,Fairly_Easy
4289,20,16,1,2,4,0,2,5,92.965,Very_Easy
4290,14,11,0,1,1,0,2,4,93.58,Very_Easy
4291,39,23,5,2,1,6,5,10,51.71,Fairly_difficult
4292,13,7,1,1,0,0,1,4,46.168,Dificult
4293,23,17,1,3,2,0,3,8,83.749,Easy
4294,33,16,6,2,1,2,3,7,24.228,very_difficult
4295,30,17,3,1,2,1,3,6,48.913,Dificult
4296,43,30,2,4,2,1,4,12,70.35,Fairly_Easy
4297,13,9,0,1,1,0,1,4,80.068,Easy
4298,44,25,6,5,3,0,2,11,45.252,Dificult
4299,46,32,2,1,4,1,3,10,68.983,Plain_English
4300,28,23,1,1,1,2,4,6,92.171,Very_Easy
4301,47,28,5,4,2,0,7,12,50.618,Fairly_difficult
4302,32,16,5,2,0,1,2,8,29.515,Very_Easy
4303,24,16,2,1,3,1,4,5,71.815,Fairly_Easy
4304,42,26,4,4,2,1,4,9,56.978,Fairly_difficult
4305,26,19,0,1,0,1,4,7,81.424,Easy
4306,24,17,1,2,2,0,3,6,78.772,Fairly_Easy
4307,23,12,4,0,0,2,4,3,38.595,Dificult
4308,28,19,2,3,3,0,4,8,72.519,Fairly_Easy
4309,19,18,0,2,1,2,7,1,108.4,Very_Easy
4310,8,7,0,0,0,0,2,2,106.597,Very_Easy
4311,46,26,7,4,2,0,3,12,43.963,Dificult
4312,43,29,3,3,2,0,5,13,66.676,Plain_English
4313,43,29,2,2,2,0,4,10,66.676,Plain_English
4314,46,31,3,3,4,1,4,10,65.567,Plain_English
4315,53,35,4,4,3,1,6,13,60.964,Plain_English
4316,37,26,3,3,2,1,1,12,73.248,Fairly_Easy
4317,39,26,2,2,3,1,6,9,66.74,Plain_English
4318,22,16,1,2,3,1,3,4,82.39,Easy
4319,25,19,1,0,1,1,5,4,85.877,Easy
4320,29,21,3,1,2,5,5,6,79.349,Very_Easy
4321,43,30,2,4,3,3,7,8,70.35,Fairly_Easy
4322,29,18,3,3,0,0,3,8,61.4,Plain_English
4323,41,27,3,3,1,1,7,6,64.666,Plain_English
4324,42,27,5,1,0,2,5,6,61.533,Plain_English
4325,24,14,3,1,1,3,5,2,54.701,Fairly_difficult
4326,63,42,6,3,0,1,7,16,58.62,Fairly_difficult
4327,24,14,3,2,2,1,4,4,54.701,Fairly_difficult
4328,55,34,5,3,1,2,6,11,52.727,Fairly_difficult
4329,33,27,1,1,3,2,7,3,89.733,Very_Easy
4330,57,28,8,6,4,0,5,10,20.404,very_difficult
4331,38,25,1,4,3,1,3,11,65.556,Plain_English
4332,29,18,3,2,2,1,2,5,61.4,Plain_English
4333,20,13,2,1,2,0,2,4,70.084,Fairly_Easy
4334,58,29,9,5,5,1,5,11,22.918,very_difficult
4335,42,23,5,1,1,0,9,7,40.676,Dificult
4336,23,17,1,1,2,1,2,5,83.749,Easy
4337,39,28,3,2,0,2,3,12,74.789,Fairly_Easy
4338,30,21,1,1,3,1,1,6,75.32,Fairly_Easy
4339,41,21,5,3,2,2,5,8,31.006,Dificult
4340,52,28,9,3,2,0,2,14,35.511,Dificult
4341,27,16,2,2,1,0,3,7,55.953,Fairly_difficult
4342,52,30,7,5,5,1,2,12,44.97,Dificult
4343,46,25,7,4,4,2,3,8,38.484,Dificult
4344,43,27,4,2,1,0,4,9,58.399,Fairly_difficult
4345,44,26,6,2,1,1,6,9,50.471,Fairly_difficult
4346,45,30,1,6,2,0,4,16,64.71,Plain_English
4347,20,15,0,3,1,0,2,8,86.423,Easy
4348,32,19,3,2,0,1,3,9,54.708,Fairly_difficult
4349,20,13,1,2,1,1,3,5,70.084,Fairly_Easy
4350,24,17,1,2,3,0,1,4,78.772,Fairly_Easy
4351,55,37,3,3,3,1,4,15,62.301,Plain_English
4352,31,25,0,3,3,2,2,11,89.244,Very_Easy
4353,26,17,3,1,2,0,5,4,68.819,Plain_English
4354,56,33,7,4,2,4,6,13,46.524,Dificult
4355,42,26,4,5,3,3,4,7,56.978,Fairly_difficult
4356,32,19,5,1,2,0,2,9,54.708,Fairly_difficult
4357,33,24,1,0,0,4,4,6,78.33,Fairly_Easy
4358,13,9,1,1,0,0,2,3,80.068,Easy
4359,17,13,1,2,1,1,3,5,89.607,Very_Easy
4360,20,14,2,2,2,0,2,5,78.873,Fairly_Easy
4361,17,12,1,1,2,1,3,4,80.895,Easy
4362,35,25,1,1,1,0,5,6,75.708,Fairly_Easy
4363,35,23,2,2,3,0,3,9,66.423,Plain_English
4364,46,33,2,3,5,0,5,10,72.16,Fairly_Easy
4365,36,25,3,2,3,1,4,5,72.324,Fairly_Easy
4366,23,16,1,0,2,2,3,4,77.103,Fairly_Easy
4367,32,24,1,1,0,0,4,7,81.855,Easy
4368,45,28,5,2,2,0,6,8,56.661,Fairly_difficult
4369,41,30,2,3,2,0,5,14,75.99,Fairly_Easy
4370,32,18,3,0,0,2,5,5,47.3,Dificult
4371,39,23,5,2,4,1,1,6,51.71,Fairly_difficult
4372,15,12,0,1,0,0,4,3,94.995,Very_Easy
4373,37,23,4,1,2,1,6,4,59.067,Very_Easy
4374,20,12,1,1,1,0,2,4,59.745,Very_Easy
4375,27,18,2,1,1,0,2,7,70.8,Fairly_Easy
4376,52,30,7,3,2,4,7,8,44.97,Dificult
4377,34,26,1,2,2,0,4,8,83.009,Easy
4378,18,14,0,0,1,2,1,5,90.959,Very_Easy
4379,44,32,2,4,2,1,5,11,74.27,Fairly_Easy
4380,39,23,5,1,2,1,3,6,51.71,Fairly_difficult
4381,39,21,4,2,2,1,1,7,39.063,Dificult
4382,38,22,4,2,2,0,4,9,49.543,Very_Easy
4383,35,19,5,2,3,2,2,5,41.35,Dificult
4384,16,11,2,0,1,1,2,3,78.198,Fairly_Easy
4385,24,16,2,0,0,1,3,5,71.815,Fairly_Easy
4386,15,8,3,0,1,0,1,2,44.15,Dificult
4387,48,28,5,3,2,3,5,8,47.596,Dificult
4388,65,47,5,7,3,4,4,15,65.983,Plain_English
4389,20,9,4,1,1,1,1,3,14.268,very_difficult
4390,31,21,2,2,3,0,4,5,71.292,Fairly_Easy
4391,26,14,4,2,1,3,4,4,42.616,Dificult
4392,66,40,8,5,3,1,5,12,46.945,Dificult
4393,27,19,1,3,3,1,2,7,76.971,Fairly_Easy
4394,27,15,4,2,3,0,2,4,46.942,Dificult
4395,42,25,2,6,2,4,3,16,52.02,Fairly_difficult
4396,28,19,3,3,3,0,2,6,72.519,Fairly_Easy
4397,26,18,1,2,2,4,1,8,75.5,Fairly_Easy
4398,28,19,1,3,2,0,2,8,72.519,Fairly_Easy
4399,15,7,2,0,1,0,1,4,21.997,very_difficult
4400,24,16,3,4,1,0,2,9,71.815,Fairly_Easy
4401,18,14,1,1,0,0,5,3,90.959,Very_Easy
4402,33,19,5,2,1,0,3,8,50.256,Fairly_difficult
4403,33,24,2,2,1,0,5,7,78.33,Fairly_Easy
4404,29,18,3,2,3,0,1,7,61.4,Plain_English
4405,36,20,3,2,3,0,4,6,44.405,Dificult
4406,58,35,6,4,2,2,7,12,48.878,Dificult
4407,12,7,1,0,0,1,3,1,58.254,Fairly_difficult
4408,19,10,2,2,2,0,2,3,41.02,Dificult
4409,20,11,2,2,1,1,2,5,47.434,Dificult
4410,8,4,1,0,0,0,1,2,35.605,Dificult
4411,18,13,1,1,2,0,2,4,83.099,Easy
4412,27,19,3,2,1,5,2,6,76.971,Fairly_Easy
4413,32,17,5,2,2,1,7,4,38.96,Dificult
4414,32,22,2,2,4,0,3,6,72.615,Fairly_Easy
4415,27,16,3,1,0,6,1,8,55.953,Fairly_difficult
4416,36,17,5,2,4,1,4,4,19.055,very_difficult
4417,57,35,6,2,2,2,6,10,51.295,Fairly_difficult
4418,30,16,4,1,1,1,2,8,40.09,Dificult
4419,13,10,0,1,0,1,1,4,91.78,Very_Easy
4420,50,30,4,4,2,5,3,10,50.61,Fairly_difficult
4421,43,31,3,4,5,5,4,9,73.754,Fairly_Easy
4422,28,17,2,2,0,1,3,7,58.866,Fairly_difficult
4423,17,14,0,0,2,0,1,2,97.001,Very_Easy
4424,31,17,5,3,4,0,2,5,43.937,Dificult
4425,29,19,2,3,4,0,4,5,68.066,Plain_English
4426,42,25,5,5,3,2,4,9,52.02,Fairly_difficult
4427,6,4,0,0,0,1,0,1,77.905,Fairly_Easy
4428,52,31,6,5,2,1,6,11,49.193,Very_Easy
4429,51,34,4,4,4,2,4,7,62.68,Plain_English
4430,50,32,5,3,4,1,9,6,58.408,Fairly_difficult
4431,51,31,5,1,5,2,6,6,51.922,Fairly_difficult
4432,65,39,7,6,8,3,4,12,46.043,Dificult
4433,61,30,8,3,5,1,3,10,19.59,very_difficult
4434,18,11,3,1,1,1,2,2,62.816,Plain_English
4435,60,38,5,4,5,0,4,13,53.971,Fairly_difficult
4436,52,32,4,4,3,1,5,9,53.12,Fairly_difficult
4437,54,30,8,6,6,2,2,13,39.33,Dificult
4438,15,12,0,2,2,0,1,5,94.995,Very_Easy
4439,43,27,4,2,1,1,4,9,58.399,Fairly_difficult
4440,44,29,4,2,2,2,5,9,63.759,Plain_English
4441,15,10,2,0,1,2,2,2,74.86,Fairly_Easy
4442,29,18,3,3,2,1,3,6,61.4,Plain_English
4443,9,6,1,0,0,1,1,2,76.89,Fairly_Easy
4444,58,36,6,3,3,0,6,10,52.265,Fairly_difficult
4445,44,28,5,3,2,4,5,13,59.682,Very_Easy
4446,18,11,2,1,0,0,2,5,62.816,Plain_English
4447,35,17,6,3,2,0,1,6,24.031,very_difficult
4448,12,8,1,0,0,1,2,3,75.875,Fairly_Easy
4449,11,6,2,0,0,0,2,2,48.69,Dificult
4450,30,21,3,2,1,2,3,5,75.32,Fairly_Easy
4451,42,28,4,1,1,1,4,9,65.725,Plain_English
4452,26,20,1,2,2,0,3,6,86.705,Easy
4453,30,21,2,2,3,1,3,6,75.32,Fairly_Easy
4454,12,6,1,1,0,1,1,3,34.59,Dificult
4455,24,13,4,1,1,0,1,5,44.053,Dificult
4456,22,14,3,0,1,0,3,3,66.787,Plain_English
4457,37,26,2,4,4,4,4,12,73.248,Fairly_Easy
4458,37,25,2,5,3,4,2,13,68.94,Plain_English
4459,20,12,2,2,1,2,1,5,59.745,Very_Easy
4460,30,23,2,1,1,0,4,7,84.815,Easy
4461,29,21,1,1,2,0,5,6,79.349,Very_Easy
4462,43,31,3,3,1,0,5,11,73.754,Fairly_Easy
4463,51,31,7,1,2,1,5,8,51.922,Fairly_difficult
4464,32,19,4,3,0,1,2,9,54.708,Fairly_difficult
4465,50,33,5,1,1,1,7,8,61.906,Plain_English
4466,39,27,1,2,3,0,1,11,70.933,Fairly_Easy
4467,30,22,1,0,1,3,4,6,80.306,Easy
4468,17,12,1,1,0,1,2,5,80.895,Easy
4469,59,37,6,4,0,2,6,15,53.155,Fairly_difficult
4470,43,30,3,5,1,1,3,14,70.35,Fairly_Easy
4471,31,20,3,1,1,4,2,5,65.555,Plain_English
4472,26,16,4,2,1,0,2,5,61.24,Plain_English
4473,26,16,2,2,1,1,2,6,61.24,Plain_English
4474,51,31,5,4,3,1,3,12,51.922,Fairly_difficult
4475,50,30,5,4,5,0,4,10,50.61,Fairly_difficult
4476,39,20,5,4,1,4,3,11,31.715,Dificult
4477,26,14,4,1,2,0,2,6,42.616,Dificult
4478,19,12,1,1,1,1,2,3,66.795,Plain_English
4479,56,36,6,4,1,1,6,15,56.965,Fairly_difficult
4480,23,15,2,2,1,4,2,5,69.503,Very_Easy
4481,49,26,8,2,2,2,4,11,34.202,Dificult
4482,26,15,4,0,0,2,3,4,52.583,Fairly_difficult
4483,35,22,3,3,1,1,3,14,61.079,Plain_English
4484,31,19,3,3,4,0,3,8,59.161,Very_Easy
4485,33,24,1,2,2,2,6,7,78.33,Fairly_Easy
4486,18,10,2,1,0,0,2,4,49.48,Very_Easy
4487,8,8,0,0,0,0,1,3,118.175,Very_Easy
4488,48,30,6,4,2,0,4,10,56.25,Fairly_difficult
4489,17,11,2,1,1,0,2,5,70.507,Fairly_Easy
4490,26,16,3,2,1,0,3,6,61.24,Plain_English
4491,27,17,2,2,1,2,3,6,63.843,Plain_English
4492,47,29,5,4,2,2,5,12,55.007,Fairly_difficult
4493,14,9,2,0,2,0,1,4,70.668,Fairly_Easy
4494,48,33,3,5,3,0,7,13,67.033,Plain_English
4495,27,19,2,2,0,0,3,9,76.971,Fairly_Easy
4496,35,23,3,3,4,0,2,7,66.423,Plain_English
4497,17,13,1,0,0,1,3,4,89.607,Very_Easy
4498,49,30,4,3,2,1,3,13,53.43,Fairly_difficult
4499,62,31,8,4,2,8,5,12,21.903,very_difficult
4500,18,14,0,1,0,5,1,6,90.959,Very_Easy
4501,16,9,2,0,1,0,2,3,51.868,Fairly_difficult
4502,33,23,3,1,0,0,5,6,73.78,Fairly_Easy
4503,31,19,2,3,2,0,5,5,59.161,Very_Easy
4504,53,25,9,3,5,1,6,7,14.796,very_difficult
4505,21,10,4,1,0,4,2,5,24.1,very_difficult
4506,46,31,4,2,2,0,8,9,65.567,Plain_English
4507,54,34,5,5,5,2,6,9,55.215,Fairly_difficult
4508,45,24,4,2,3,0,2,11,36.03,Dificult
4509,20,14,0,1,0,0,3,6,78.873,Fairly_Easy
4510,24,12,4,1,0,0,2,6,31.545,Dificult
4511,31,15,6,2,2,1,0,6,24.382,very_difficult
4512,39,22,6,3,3,1,3,8,45.697,Dificult
4513,31,19,2,2,4,0,3,7,59.161,Very_Easy
4514,38,23,3,2,2,1,5,6,55.389,Fairly_difficult
4515,34,21,2,3,3,1,2,7,59.206,Very_Easy
4516,37,18,6,3,3,0,2,7,23.8,very_difficult
4517,30,19,4,2,4,0,3,6,63.614,Plain_English
4518,18,13,2,0,1,1,3,3,83.099,Easy
4519,52,27,9,2,2,1,2,15,30.199,Dificult
4520,28,18,3,2,2,0,3,6,66.1,Plain_English
4521,81,42,10,6,6,1,6,14,22.363,very_difficult
4522,24,16,3,3,2,0,1,7,71.815,Fairly_Easy
4523,28,19,4,0,3,2,4,4,72.519,Fairly_Easy
4524,51,28,6,3,2,0,4,10,38.532,Dificult
4525,28,20,3,1,0,1,5,6,78.245,Fairly_Easy
4526,53,28,7,4,2,0,5,11,32.489,Dificult
4527,26,16,1,1,1,0,4,5,61.24,Plain_English
4528,54,30,6,6,3,1,5,10,39.33,Dificult
4529,29,19,2,2,6,0,3,5,68.066,Plain_English
4530,57,37,6,3,4,2,5,10,57.728,Fairly_difficult
4531,23,17,0,1,2,1,4,5,83.749,Easy
4532,45,28,5,4,1,0,4,17,56.661,Fairly_difficult
4533,17,11,1,2,1,1,2,3,70.507,Fairly_Easy
4534,48,28,4,4,2,2,7,9,47.596,Dificult
4535,71,39,9,2,3,1,7,13,33.027,Dificult
4536,43,26,4,3,2,0,4,7,53.725,Fairly_difficult
4537,46,24,6,4,4,1,6,6,32.505,Dificult
4538,57,35,4,4,4,3,4,10,51.295,Fairly_difficult
4539,30,21,3,2,0,1,6,8,75.32,Fairly_Easy
4540,44,26,5,2,1,5,4,7,50.471,Fairly_difficult
4541,19,12,1,2,1,2,3,3,66.795,Plain_English
4542,24,12,4,3,3,0,1,4,31.545,Dificult
4543,36,24,4,2,5,2,5,4,67.755,Plain_English
4544,6,4,1,0,0,0,1,1,77.905,Fairly_Easy
4545,27,17,2,2,3,2,2,5,63.843,Plain_English
4546,69,43,5,5,2,0,5,18,49.259,Very_Easy
4547,6,6,0,0,0,0,3,1,119.19,Very_Easy
4548,17,10,3,1,1,0,1,4,57.94,Fairly_difficult
4549,23,15,1,1,1,0,4,5,69.503,Very_Easy
4550,54,35,4,5,4,2,6,12,58.547,Fairly_difficult
4551,37,21,4,2,2,2,6,4,47.12,Dificult
4552,29,19,2,2,1,0,2,6,68.066,Plain_English
4553,17,9,2,2,1,0,2,3,42.468,Dificult
4554,47,30,6,4,5,2,5,8,59.07,Very_Easy
4555,34,16,6,2,0,2,2,8,18.94,very_difficult
4556,20,12,2,0,1,0,2,4,59.745,Very_Easy
4557,39,26,2,1,1,1,5,8,66.74,Plain_English
4558,44,27,2,2,3,2,4,8,55.266,Fairly_difficult
4559,51,31,5,3,3,1,4,10,51.922,Fairly_difficult
4560,21,13,3,1,1,0,3,5,63.576,Plain_English
4561,14,9,0,0,1,1,3,2,70.668,Fairly_Easy
4562,36,20,4,1,1,1,4,8,44.405,Dificult
4563,28,20,2,0,1,0,3,7,78.245,Fairly_Easy
4564,38,27,4,1,2,0,5,7,74.066,Fairly_Easy
4565,28,16,5,1,1,1,4,4,50.665,Fairly_difficult
4566,36,24,3,5,3,1,2,11,67.755,Plain_English
4567,33,22,3,4,2,1,3,9,68.77,Plain_English
4568,36,27,2,2,5,1,2,8,80.333,Easy
4569,12,7,1,1,1,0,1,3,58.254,Fairly_difficult
4570,22,15,2,1,1,0,1,8,75.143,Fairly_Easy
4571,31,15,5,2,3,0,2,5,24.382,very_difficult
4572,21,15,1,1,0,0,2,7,80.783,Easy
4573,33,18,4,4,1,4,3,6,42.6,Dificult
4574,21,14,2,1,2,2,2,4,72.83,Fairly_Easy
4575,25,15,3,2,1,0,1,6,58.223,Fairly_difficult
4576,44,30,3,1,2,1,4,10,67.53,Plain_English
4577,32,25,1,2,3,1,6,4,85.86,Easy
4578,36,24,3,3,4,1,4,9,67.755,Plain_English
4579,32,20,3,1,0,1,5,4,61.325,Plain_English
4580,46,31,2,3,4,1,5,8,65.567,Plain_English
4581,25,17,2,2,2,2,2,5,73.796,Fairly_Easy
4582,32,21,3,2,1,2,4,7,67.263,Plain_English
4583,61,33,9,4,5,1,5,10,33.706,Dificult
4584,40,27,3,2,4,2,5,5,67.799,Plain_English
4585,11,6,2,1,0,0,2,3,48.69,Dificult
4586,23,16,1,1,0,2,4,3,77.103,Fairly_Easy
4587,25,15,2,0,0,1,2,5,58.223,Fairly_difficult
4588,41,26,4,2,2,0,2,9,60.232,Plain_English
4589,24,15,3,1,0,0,5,3,63.863,Plain_English
4590,9,6,1,0,0,1,1,1,76.89,Fairly_Easy
4591,45,26,6,2,3,3,4,7,47.217,Dificult
4592,24,18,2,2,1,1,2,7,84.9,Easy
4593,25,20,0,3,2,1,1,7,90.935,Very_Easy
4594,32,21,3,1,0,1,4,4,67.263,Plain_English
4595,25,17,1,0,2,2,3,3,73.796,Fairly_Easy
4596,47,29,4,3,1,0,3,12,55.007,Fairly_difficult
4597,12,9,1,1,0,2,1,3,89.468,Very_Easy
4598,57,31,6,5,7,6,1,12,35.548,Dificult
4599,58,37,4,4,2,0,6,15,55.441,Fairly_difficult
4600,27,10,4,0,0,4,2,1,-26.66,Very_Easy
4601,46,32,4,4,3,1,7,11,68.983,Plain_English
4602,18,14,1,0,0,0,6,2,90.959,Very_Easy
4603,15,12,1,0,0,1,4,2,94.995,Very_Easy
4604,10,6,0,1,1,0,1,3,62.79,Plain_English
4605,22,9,5,0,0,1,1,3,-4.532,Very_Easy
4606,27,15,4,0,2,2,3,3,46.942,Dificult
4607,22,15,1,2,1,0,2,7,75.143,Fairly_Easy
4608,15,11,0,1,1,2,1,3,85.889,Easy
4609,44,29,3,1,2,4,7,6,63.759,Plain_English
4610,30,17,2,2,1,2,2,6,48.913,Dificult
4611,47,26,7,5,4,2,2,11,40.709,Dificult
4612,13,9,1,0,0,2,1,3,80.068,Easy
4613,37,17,8,2,3,1,2,5,14.078,very_difficult
4614,35,25,1,2,1,2,4,6,75.708,Fairly_Easy
4615,40,26,4,1,0,0,3,10,63.486,Plain_English
4616,71,39,9,7,3,0,3,17,33.027,Dificult
4617,32,18,4,3,3,0,2,6,47.3,Dificult
4618,42,23,5,3,1,2,4,7,40.676,Dificult
4619,55,31,6,4,3,3,6,12,41.006,Dificult
4620,26,17,2,1,3,2,2,4,68.819,Plain_English
4621,29,18,2,2,1,0,3,8,61.4,Plain_English
4622,27,15,2,0,3,1,3,3,46.942,Dificult
4623,25,16,3,2,1,0,3,5,66.528,Plain_English
4624,15,10,2,1,0,1,1,4,74.86,Fairly_Easy
4625,8,7,0,0,0,0,2,1,106.597,Very_Easy
4626,44,25,7,3,3,0,4,12,45.252,Dificult
4627,36,19,5,4,3,0,3,7,36.898,Dificult
4628,16,11,1,1,1,0,2,6,78.198,Fairly_Easy
4629,22,19,0,2,2,4,2,7,99.235,Very_Easy
4630,37,23,5,3,2,0,1,11,59.067,Very_Easy
4631,16,11,0,1,1,0,2,6,78.198,Fairly_Easy
4632,12,9,1,1,0,2,3,2,89.468,Very_Easy
4633,44,26,6,3,2,0,4,12,50.471,Fairly_difficult
4634,25,20,0,0,3,0,2,7,90.935,Very_Easy
4635,28,18,2,2,3,0,2,6,66.1,Plain_English
4636,14,9,2,1,3,2,1,2,70.668,Fairly_Easy
4637,7,6,0,1,1,1,1,3,105.09,Very_Easy
4638,23,14,3,1,1,0,3,7,60.744,Plain_English
4639,34,22,2,3,0,0,3,12,64.925,Plain_English
4640,47,28,4,4,3,4,5,12,50.618,Fairly_difficult
4641,33,25,2,1,3,0,3,7,82.476,Easy
4642,18,12,0,2,1,0,3,4,73.845,Fairly_Easy
4643,28,20,2,2,2,2,6,5,78.245,Fairly_Easy
4644,26,18,3,1,3,1,2,3,75.5,Fairly_Easy
4645,25,15,2,1,1,2,2,6,58.223,Fairly_difficult
4646,28,16,3,1,1,1,2,6,50.665,Fairly_difficult
4647,27,17,2,1,1,0,3,6,63.843,Plain_English
4648,29,14,3,4,1,0,2,5,24.487,very_difficult
4649,33,21,1,1,1,0,2,8,63.235,Plain_English
4650,44,27,4,1,1,0,4,8,55.266,Fairly_difficult
4651,27,14,6,1,0,0,5,5,36.573,Dificult
4652,25,15,2,1,1,0,1,8,58.223,Fairly_difficult
4653,29,20,2,1,0,1,4,7,74.015,Fairly_Easy
4654,44,26,4,2,4,0,2,12,50.471,Fairly_difficult
4655,49,28,6,1,2,3,6,6,44.575,Dificult
4656,33,22,4,2,1,1,3,11,68.77,Plain_English
4657,38,25,4,1,1,1,5,9,65.556,Plain_English
4658,33,17,4,3,1,2,2,7,33.984,Dificult
4659,30,16,4,2,2,0,2,6,40.09,Dificult
4660,63,36,7,5,3,1,6,14,40.515,Dificult
4661,21,14,2,1,1,0,3,5,72.83,Fairly_Easy
4662,31,19,3,4,2,4,3,10,59.161,Very_Easy
4663,31,23,2,3,4,0,4,6,81.136,Easy
4664,37,21,4,4,4,0,3,7,47.12,Dificult
4665,18,10,1,2,1,1,2,5,49.48,Very_Easy
4666,36,20,4,1,0,4,6,4,44.405,Dificult
4667,59,37,6,5,4,0,5,14,53.155,Fairly_difficult
4668,59,34,6,5,4,0,5,11,42.774,Dificult
4669,17,11,2,1,1,0,2,4,70.507,Fairly_Easy
4670,59,34,7,2,4,6,3,12,42.774,Dificult
4671,46,22,8,1,3,0,3,11,18.779,very_difficult
4672,34,18,5,3,1,0,3,7,37.9,Dificult
4673,40,22,6,2,1,2,5,6,41.852,Dificult
4674,54,29,8,3,1,2,6,12,34.586,Dificult
4675,26,16,3,1,1,1,3,5,61.24,Plain_English
4676,41,30,2,0,0,2,7,8,75.99,Fairly_Easy
4677,37,23,4,3,4,0,5,6,59.067,Very_Easy
4678,50,29,7,4,1,4,4,15,46.255,Dificult
4679,16,10,2,2,0,1,1,5,66.4,Plain_English
4680,37,22,4,1,2,1,4,6,53.388,Fairly_difficult
4681,28,20,2,2,1,1,5,4,78.245,Fairly_Easy
4682,31,17,5,1,0,0,2,11,43.937,Dificult
4683,23,15,2,2,0,0,3,7,69.503,Very_Easy
4684,37,19,5,3,1,1,2,10,32.445,Dificult
4685,52,35,7,2,2,4,6,8,63.381,Plain_English
4686,66,32,10,2,1,0,7,14,16.108,very_difficult
4687,42,23,4,3,2,0,5,7,40.676,Dificult
4688,28,19,1,1,0,0,4,7,72.519,Fairly_Easy
4689,30,16,4,1,0,1,4,4,40.09,Dificult
4690,34,22,3,2,1,2,4,5,64.925,Plain_English
4691,44,30,3,2,2,1,2,10,67.53,Plain_English
4692,29,20,1,3,2,1,5,7,74.015,Fairly_Easy
4693,40,27,4,1,3,8,3,7,67.799,Plain_English
4694,16,10,2,1,0,0,3,2,66.4,Plain_English
4695,31,21,3,0,0,0,8,4,71.292,Fairly_Easy
4696,28,18,3,2,0,0,3,7,66.1,Plain_English
4697,39,26,4,3,1,1,4,8,66.74,Plain_English
4698,51,33,5,2,4,1,6,11,59.342,Very_Easy
4699,19,11,3,2,2,0,4,4,55.125,Fairly_difficult
4700,15,12,0,1,2,0,1,2,94.995,Very_Easy
4701,19,14,1,2,2,0,1,6,84.916,Easy
4702,21,14,2,1,1,1,4,4,72.83,Fairly_Easy
4703,31,23,2,1,0,0,6,7,81.136,Easy
4704,23,12,3,3,1,0,2,6,38.595,Dificult
4705,46,28,6,1,4,0,3,9,53.639,Fairly_difficult
4706,47,29,5,4,3,0,5,9,55.007,Fairly_difficult
4707,29,16,5,2,1,0,4,5,45.378,Dificult
4708,36,20,5,2,3,1,4,9,44.405,Dificult
4709,41,28,3,4,4,0,3,10,68.746,Plain_English
4710,21,15,1,1,1,1,4,4,80.783,Easy
4711,46,35,3,4,5,2,7,8,77.884,Fairly_Easy
4712,44,23,6,3,1,3,3,9,33.319,Dificult
4713,45,27,4,3,2,0,3,10,52.133,Fairly_difficult
4714,52,36,4,4,3,0,5,10,66.365,Plain_English
4715,42,29,3,3,2,0,6,12,69.593,Very_Easy
4716,35,24,5,0,2,0,7,7,71.28,Fairly_Easy
4717,27,19,2,3,1,0,5,7,76.971,Fairly_Easy
4718,17,10,2,0,2,1,3,2,57.94,Fairly_difficult
4719,45,28,5,4,1,1,6,11,56.661,Fairly_difficult
4720,25,17,2,1,1,0,4,5,73.796,Fairly_Easy
4721,39,26,3,1,3,1,6,5,66.74,Plain_English
4722,28,18,3,3,2,1,2,7,66.1,Plain_English
4723,39,22,5,2,2,2,3,8,45.697,Dificult
4724,63,41,6,3,2,3,8,12,56.032,Fairly_difficult
4725,13,9,1,1,2,0,2,2,80.068,Easy
4726,33,22,2,3,1,1,3,10,68.77,Plain_English
4727,36,28,1,1,2,2,5,7,83.854,Easy
4728,16,9,2,0,0,0,2,4,51.868,Fairly_difficult
4729,51,29,7,1,1,2,5,7,43.338,Dificult
4730,16,13,1,1,0,0,3,3,96.114,Very_Easy
4731,41,21,7,3,0,2,4,9,31.006,Dificult
4732,32,20,4,0,0,1,5,5,61.325,Plain_English
4733,37,24,4,4,2,0,2,14,64.23,Plain_English
4734,22,16,0,1,3,0,2,7,82.39,Easy
4735,34,20,5,2,2,1,2,8,52.865,Fairly_difficult
4736,30,21,1,4,3,1,5,5,75.32,Fairly_Easy
4737,40,26,3,0,2,0,5,7,63.486,Plain_English
4738,35,24,3,1,1,2,3,7,71.28,Fairly_Easy
4739,32,20,3,1,1,0,3,9,61.325,Plain_English
4740,42,26,5,2,1,1,4,10,56.978,Fairly_difficult
4741,41,27,4,1,1,3,4,8,64.666,Plain_English
4742,31,23,1,4,1,0,2,10,81.136,Easy
4743,49,26,5,4,4,1,5,10,34.202,Dificult
4744,48,31,3,3,1,3,3,11,60.109,Plain_English
4745,40,27,3,5,2,2,3,12,67.799,Plain_English
